jsonStructure,Group1,Group2,Parameter+D1:H34,type,pattern,required,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
header,,,transactionId,string,($UUID RFC4122),X,f81d4fae-7dec-11d0-a765-00a0c91e6bf6,Externe Transaktions-Id zur eindeutigen Identifikation der Anfrage der MaLo-ID der Marktlokation des sendenden Marktpartners.,T,transaktionsdaten,vorgangsnummer,
header,,,creationDateTime ,string,"20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\d(\.[\d]{1,4})?Z",,2023-08-01T12:30:00.1704Z,Zeitpunkt an dem der Aufruf erstellt wurde,T,transaktionsdaten,nachrichtendatum,
header,,,initialTransactionId,string,($UUID RFC4122),X,f81d4fae-7dec-11d0-a765-00a0c91e6bf6,Zur Angabe des Idempodenzschlüssel im Falle eines Retry.,T,transaktionsdaten,idempodenzschluessel,
body,,,identificationDateTime,,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,X,2023-08-02T22:00:00Z,Zeitpunkt zu dem die Identifikation stattfinden soll. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.,T,transaktionsdaten,ausfuehrungsdatum,
body,,,energyDirection,string,"consumption, production ",X,consumption,Energieflussrichtung der Marktlokation,S,MARTLOKATION[],energierichtung,"consumption <-> AUSSP
production <-> EINSP"
body,identificationParameterId,,maloId,string,\d{11},,57685676748,Identifiziert die Marktlokation mittels einer eindeutigen ID,S,MARTLOKATION[],marktlokationsId,
body,identificationParameterId,,tranchenIds,array,\d{11},,"[""57685676742""]",Identifiziert die Tranche mittels einer eindeutigen ID,S,TRANCHE[],tranchenId,
body,identificationParameterId,,meloIds,array,"DE\d{11}[A-Z,\d]{20}",,"[""DE00014545768S0000000000000003054""]",Identifiziert die Messlokation mittels einer eindeutigen ID,S,MESSLOKATION[],messlokationsId,
body,identificationParameterId,,meterNumbers,array,,,"[""1SM-8465929523""]",Identifiziert das Gerät der Messlokation mittels Gerätenummer,S,ZAEHLER[],zaehlernummer,
body,identificationParameterId,,customerNumber,string,,,V567345345,Zur Angabe der Kundennummer des Kunden beim bisherigen Lieferanten (LFA),S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""]].externeReferenzen[exRefName=""Kundennummer beim Altlieferanten""]",exRefWert,
body,identificationParameterAddress,name,,Schema,,,,,,,,
body,identificationParameterAddress,name,surnames,string,,,Becker,Angabe des Namen des Kunden,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",name1,
body,identificationParameterAddress,name,firstnames,string,,,Michael,Angabe des Vornamen des Kunden,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",name2,
body,identificationParameterAddress,name,title,string,,,Prof.Dr.,Angabe des Titels der natürlichen Person,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",anrede,
body,identificationParameterAddress,name,company,string,,,BDEW & Co. KG,Angabe des Firmennamen,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=true]",name1,
body,identificationParameterAddress,address,,Schema,,,,,,,,
body,identificationParameterAddress,address,countryCode,string,[A-Z]{2},,DE,Angabe des Ländercodes nach ISO-3166-1 Alpha-2,S,MARKTLOKATION[].lokationsadresse,landescode,
body,identificationParameterAddress,address,zipCode,string,,,12117,Angabe der Postleitzahl der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,postleitzahl,
body,identificationParameterAddress,address,city,string,,,Berlin,Angabe des Ortes der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,ort,
body,identificationParameterAddress,address,street,string,,,Reinhardtstraße,Angabe der Straße der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,strasse,
body,identificationParameterAddress,address,houseNumber,integer,,,32,Angabe der Hausnummer der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,hausnummer,
body,identificationParameterAddress,address,houseNumberAddition,string,,,F,Angabe der Hausnummernergänzung der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,adresszusatz,
body,identificationParameterAddress,landParcels,,Schema,,,,,,,,
body,identificationParameterAddress,landParcels,districtName,string,,(X),string,Angabe des Gemarkungsnamens (des Flurstücks) der Marktlokationsadresse,S,MARKTLOKATION[].katasterinformation,gemarkung_flur,
body,identificationParameterAddress,landParcels,lotNumber,string,,(X),string,Angabe der Flurnummer (des Flurstücks) der Marktlokationsadresse,S,MARKTLOKATION[].katasterinformation,flurstueck,
body,identificationParameterAddress,landParcels,subLotNumber,string,,(X),string,Angabe der Flurstücksnummer (des Flurstücks) der Marktlokationsadresse,S,MARKTLOKATION[].katasterinformation,flurstueckNummer,
body,identificationParameterAddress,geographicCoordinates,,Schema,,,,,,,,
body,identificationParameterAddress,geographicCoordinates,latitude,string,,,string,Angabe der Breite (Breitengrad) nach WGS84. 46 <= X <= 59. °N,S,MARKTLOKATION[].geokoordinaten,breitengrad,
body,identificationParameterAddress,geographicCoordinates,longitude,string,,,string,Angabe der Länge (Längengrad) nach WGS84. 4 <= X <= 18. °O,S,MARKTLOKATION[].geokoordinaten,laengengrad,
body,identificationParameterAddress,geographicCoordinates,east,string,,,string,Angabe des UTM Ostwert nach WGS84. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen,S,MARKTLOKATION[].geokoordinaten,ostwert,
body,identificationParameterAddress,geographicCoordinates,north,string,,,string,Angabe des UTM Nordwert nach WGS84. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen,S,MARKTLOKATION[].geokoordinaten,nordwert,
body,identificationParameterAddress,geographicCoordinates,zone,array,"UTMZone31, UTMZone32, UTMZone33",,UTMZone31,,S,MARKTLOKATION[].geokoordinaten,zone,
body,identificationParameterAddress,geographicCoordinates,northing,string,,,string,Gauß-Krüger Hochwert. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen.,S,MARKTLOKATION[].geokoordinaten,hochwert,
body,identificationParameterAddress,geographicCoordinates,easting,string,,,string,Gauß-Krüger Rechtswert. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen.,S,MARKTLOKATION[].geokoordinaten,rechtswert,
